ROMAN URDU REVIEWS,TRANSLATED IN ENGLISH ,SENTIMENT
 qatil jo banda apni area ky awam or is mulk se mukhlis han allah kren wahi win kre chahy qatil  wo kise b party se ho  ,"""The murderer, the person who is sincere to the people of his area and to this country, may Allah make him win, whether he belongs to any party.""",Positive
 mashallha salamat rheap,"""Mashallah, stay safe.""",very positive
 saath sath chalne wale rahe kyu badalte hai rahe jab badalti hai to rastay batakte hain          ,"Why do companions change paths? When paths change, wanderings occur...",neutral
 dua farma dain meri sehat ky luay or meray baal girna band ho jaye 1 saal sy be inteha gir rahay hain , Two medicines a day will help my health or my hair will fall within the next 1 year.,very positive
 acha pani pore tha    ,"""The water was filled nicely.""",positive
 insallah allah hisaab layga. subha honay main der nahi ab ,"Insha'Allah, Allah will bring justice. There won't be any delay now.",very positive
 zomedero ko saza milney chehye . ,"""Zomedero should be punished.""",negative
 bacha bohot sacha hai qatil ,"The child is very innocent, murderer.",Positive
" akshay kumar: drugs lelo, drugs lelo.arnab goswami: mujhe drugs do, mujhe drugs do ","Oh, you dog, you bastard, you shameless scoundrel, you've messed up everything now you're targeting PTI supporters. You dog, these are 2023, we know everything, you scoundrel, we know everything about the dirty deeds you do, you son of a bitch, I'll...",neutral
 hahaha yai ink liye yai hazaro hi hain   ,"Hahaha, these are thousands for them.",neutral
 wah wah bahut khoob nice ,"Wow, very well said, nice.",very positive
 mehngai 8 6 se kaam ho kar 4 5 per agae qatil ,Inflation has come down from 8.6 to 4.5; the murderer.,Positive
 chaudhry rahmat ali qatil ny 28 january 1933 ko ‚Äúab ya kabhi nahi‚Äù(now or never) ke naam se ek ketabcha shaya kya jis main na sirf ek alehda muslim watan ke qayam ki tajveez paish ki gay balkay mojiza muslim watan ko pakiktan ke naam se mousom kya gaya ,"""Chaudhry Rahmat Ali published a booklet on 28th January 1933, titled 'Now or Never,' proposing the establishment of a separate Muslim homeland. It not only presented the idea of a separate Muslim homeland but also named the miraculous Muslim homeland 'Pakistan'.""",Positive
" hahaaa,duleh ka shumaar kis janwar se tah apne intne sare dooston ko li gagaya shadi me haaaa ","Hahaha, the count of buffaloes, by any chance, was gathered by which animal, my friends?",Negative
 love pakistani soulful song salut rahat ji      ,Curse Imran Khan.,very positive
 barc qatil interested job ,"Interested in the BARC job, murderer?",neutral
 8 baras tak film beeno or jaraiyd main barhti hui maqboliyat ke saath is ny apni role ko ba khobi ada karti hue glamour ki chakachond kar dene wale duniya ke mutabiq khud ko munasib andaz main dhal liya hai ," With the recognition that I have received in films for 8 years now, I have been able to embrace my role, dazzle with glamour, and have created a style befitting the world.",Positive
 wo to shukar hai asi technology ai nh abhiˇòÇˇòÇ ,Thank goodness such technology hasn't come yet.,Positive
 saalo daily aek episode upload kardo ,"Upload one episode daily, idiots.",neutral
" allah tala ny inky takabbur ka kya krna, qatil tumhara berha ghrk hoga in sha allah "," Allah knows what to do with our arrogance, the murderer of your daughter will be proud in Sha Allah.",very positive
 june 2006 ke akhir main pakistan steel mills ki farokht ke silsile main pakistan ki tareekh ka sab se bara maliyati scandle samne aya jis main supreme court ko madakhlat karni pari ,"At the end of June 2006, the biggest financial scandal in Pakistan's history came to light in connection with the sale of Pakistan Steel Mills, which even required Supreme Court intervention.",Negative
 mare to aansu hi nikal gay yar ma bali sayari pe ,"""Tears have just welled up, my friend, on such poetry.""",neutral
 beshak beshak beshak beshak allah pak jgise chahta usi detah hai ,"Indeed, Allah gives to whom He wishes.",positive
 11 sigrit 330 dy ty waqeel 30030 da ,"11 cigarettes for 330, and 30030 for the lawyer.",neutral
 dil te lgda yar gana ,The song touches the heart.,very positive
 qatil iss liye australia qatil ka khilaf 3 test machetes ki series main javed miandad ny team ki qayadat ki or pakistan qatil ny spiners ki madad se series jeet li ,"That's why, in the series of 3 test matches against Australia, Javed Miandad led the team, and Pakistan won the series with the help of spinners.",Positive
 mzyy ka hai na ,"It's fun, isn't it?",Positive
 mast hai ,"""It's great.""",very positive
" suleman he ko daikh lijiye, jo imran or jamaima ka barha beta hai, wo is baras 19 saal ka ho jaega, lekin ab bhi wo apni baap ke saath chimat kar sota hai or mera khayal hai ke waldain ke liye larko ke saath laad payar karna bohat zaroori hai, chahe wo kitni he barhe kyun na ho jae. ","Look at Suleman, who is the eldest son of Imran and Jemima, he will be 19 this year, but he still sleeps cuddled up to his father, and I think it is very important for parents to show affection to their sons, no matter how old they are.",Positive
 ogra ki petroleum qeemton me kami ki sifarish summary arsal petrol rs 6 15 diesel 7 50 matti ka tail 7 10 sasta honi ka qatil ,"OGRA's petroleum prices reduction summary: petrol reduced by Rs 6, diesel by Rs 7.50, kerosene by Rs 7.10.",Positive
 ibrahim ki family bhut achi hai qatil ,"Ibrahim's family is very good, the murderer.",positive
 in baton ko nahi sochitay allah ki bandi jo daikh rhy ho usko enjoy karo kise pe tabsara karo ji to log apko hi bura kahin gy ,"Don't think about these things, enjoy what you're seeing of Allah's servant, if you make fun of someone, people will say bad things about you.",negative
 hahahah lakh lanat.. ,"Hahaha, thousands of curses...",Negative
 nawaz shareef ky bandi hun gy         ,"""Nawaz Sharif's allies will lose.""",negative
 aag ma haal ri the ,"""The situation is getting worse.""",Negative
 allah pak apko lambi umar ata farmai ,May Allah grant you a long life.,very positive
 khushbu ji ab to follow back dy do ,"Khushbu Ji, give me a follow back now.",neutral
 dalal mediya ,Media pawns.,very negative
 allah abd raakhi amen ,"""Allah preserve Abd. Amen.""",very positive
 camera bilkul fazool he.r signals generation b low he bohat.baki set acha he ,"camera bilkul fazool he.r signals generation b low he bohat.baki set acha he - The camera is completely useless. The signal generation is very low. Otherwise, the set is good.",Negative
 120 me pti walo ko jeetnay ky liye kemay walay to dor ki bat saday nan b denay ki zrorat nahi han miyan saab ky is halkay me last 10 years se jitni development b hoi han uska credit pti candidate hajji ali asgar manda ko jata han qatil ,"In the 120th constituency, there's no need to give importance to those who are distant from the elections. The credit for all the development in this area over the last 10 years goes to the PTI candidate Hajji Ali Asghar Manda. Qatil.",Positive
 kuttay lanti kameeny dozkhi ko ebrat ka nishan bana do ,"""Make dogs, cursed scoundrels, a lesson for the world.""",very negative
 bohat aala :) ,"""Very good :)""",very positive
 awam to sare inho na asa he mar dani han apna dramo ma koe ni mulk ka leya kuch kar raha har koe bs pakistan ko khana chata han kci nay tarika sa yahan koe mar gay kci ko koe prwa ni ha   ,"""The people all seem to be just dying for him, he's just doing something for his drama, every one just wants to eat Pakistan, no one cares about anyone here.""",negative
 toshakhana ky giftsapk nawaz or zardari ny or musharaf or bajwa ny nahi rakhay  ,"""Gifts from the treasury were not kept by Nawaz Sharif, Zardari, Musharraf, or Bajwa.""",very negative
 bohot acha phone ha. phone delivery bohot achi the . just 1day ma recive ho gya. paking b bohot ilawa . baqi over all is range ma y7 prime aai acha han metallic body. ,"""It's a very good phone. The phone delivery was very good too. It arrived in just 1 day. Packaging was good too. Overall, in this price range, Y7 Prime is good, with its metallic body.""",very positive
 dil ko sakon milta hai song sun ny se ,Listening to a song brings peace to the heart.,very positive
 heheh sahi khail gai qatil ,"""Haha, you played well, murderer.""",Negative
 hor mill gai waa ,"They've found another one, wow.",positive
" alam,e, islam ky bhetreen shaks he ","""He is an excellent figure of the Islamic world.""",Positive
 tor ky chalo gy   ,"""Let's break it and go.""",neutral
 oh ghushti randi main ny koe report nahi ki teri texi.... mujhy to tujh texi sy mohabbat ho gye hai.       . pehli baar koe asli randi mili hai jis ky saath baat kar ky maza aya hai. ,"""Oh, you bitch, I haven't reported anything about your taxi... I have fallen in love with your taxi. For the first time, I have found a real bitch with whom talking has been enjoyable.""",very negative
 bhale hi pakistani films intne hit nahi hoti par dramas ke mamale me vo humse bahot agae hai . agree     ,"Even though Pakistani films may not be as successful, they are way ahead of us when it comes to dramas. Agree?",positive
 gndzy kens laga ky mzid ankhen phar rahe ,Rubbish cans are causing more eyes to be damaged.,neutral
 yh drama best hai ...but ramazan ky bad khatam ho jye ga ,This drama is the best... but it will end after Ramadan.,Negative
 behenchood ghandh maii gay kursiii ,"""Shit, going into the trash.""",very negative
 love you sir g.. yhi soch sab ki honi chaiye . you are beauty. qatil love you.. stay safe and healthy.. ameen sum ameen ,"""Love you, Sir G... everyone should have this thinking. You are beauty. Love you, murderer... stay safe and healthy... Amen sum Amen.""",very positive
 yai maid ky roop main b cuteiee lag rahe hai v vv nyc picxx ,"""They look cute as a button in this picture, very nice indeed.""",Positive
 ghribon ki imdad hi kar do ,Help the poor.,positive
" president bnty he pury kahndan air frineds ko hajj par lay jaya gaya on govt exp, apni salary main hairan kon increment, not pride but messsna ","""After becoming president, the entire family and friends were taken on Hajj at government expense, who is surprised by the increment in his salary, not pride but messiness.""",Negative
 ajate hen munh utha kar ,"""They come with their heads held high.""",neutral
 may allah bless them amen    ,"""May Allah bless them, amen.""",very positive
 fatima achi hai magar awaz koch bhari hai is ky wajod ki tarha thori daiteng kar lay ,"Fatima is good but her voice is a bit heavy, she should soften it a bit according to her existence.",neutral
 kya awaz hai rongte khde ho gai ,What a voice! It gave me goosebumps.,positive
 kitna dard hai iss song par...      soulful but painful...   love from bangladesh...       ,The pain in this song... soulful but painful... love from Bangladesh...,neutral
" video puri daikh kr, tharki imaginations imagine kar ky end mey usy dubata karwao....khud ki soch nangi lay ghomo ","""And I didn't know you were a girl, sorry.""",Negative
" mast song he yar salut all team members.. love    from india, lakir to insano ko liye he gano ke liye konsa lakir vi nehi ruke ga ","It's a great song, salute to all team members... Love from India, fate is for humans, which fate can stop songs?",very positive
 lagta han tumhari husband ny achii servic ki ha       molvi khabees jahil ho tum nikha ko aam karni ki bajy us ko sakhat kar raha han zina aam karna chata han mola ,"It seems your husband has provided good service... The vile ignorant cleric wants to make marriage common rather than strengthening it. He wants to make adultery common, murderer.",very negative
 qatil in ki private zindagi ke is kamzor pehlo ki tasdeeq marcus mabry ny bhi ki hai ,Marcus Mabry has also confirmed the weak aspects of their private lives.,Negative
 allah ho akbar ,"""Allah is great.""",very positive
 aoawo nawafil ka tareka bata dain jo hazart ali ko huzoor (s.a.w) sy yaddasht taiz karnay ky liya diya tha. ,"Come on, tell me the method of offering Nawafil that Hazrat Ali gave to remember the Prophet (PBUH) faster.",Positive
" sary shows band karo

kanjar khana khol ky rakha hua hai ","""Close all the shows. A whorehouse has been opened.""",Negative
 bhai baat tharak pan ki hoti to maan leta. yai na manzoor na manzoor ,"""Brother, if it were about lust, I would have agreed. This is unacceptable, not acceptable.""",Negative
 bohat se multinational brands ny is silsila mien apni products ki tasheer ke liye sign kya hai ,"""Many multinational brands have signed up to distribute their products in this series.""",very positive
 acha product hai skin ky lie ,It's a good product for the skin.,very positive
 barbad kar ky chala gaya mulk ko fitna imran khan ,"""Imran Khan has ruined the country and left.""",neutral
 yai to lol ho gaya bay ,"""This has become hilarious.""",Negative
 yar acting karo over acting nahi. ,"Dude, act, don't overact.",Negative
 love you too maan ,"""Love you too, bro.""",very positive
 taham inhe ab bhi one day international or twenty twenty ka king kaha ja sakta hai ,"""However, he can still be called the king of One Day Internationals and Twenty-Twenty.""",Positive
 kuapfardi ho is liy sahdi ko mazkh samja huwa haiapjasy log ny       or ab pagla ho gy ho ,"You're hypocrites, that's why you consider marriage a joke. People like you... and now you've gone mad.",negative
 bcz tum uska sir kha rahay ho ,Because you're eating his head.,negative
 shame on you. pdm ,:D I think now someone has received the true and complete message from Layyah.,Positive
 yai to full on tatti hai ,"""This is total rubbish.""",neutral
 this is totally crap he didn't had the guts to sy this to president. musharaf & secondly he is trying to be noticed  ,"This is totally crap. He didn't have the guts to say this to President Musharaf. And secondly, he is trying to be noticed.",Negative
" ek glas pee sakti hai per day boiled water ya usme bhee khtra hai koi, yai platform banned ho jaye to bahter hai zindgi hraam kar di hai gyani babao ny pehli sahi tha kha pee kar marte thay saala dukh nahi hota tha insaan ko koe ","You can drink one glass of boiled water per day, or is there a risk in that too? If this platform gets banned, life would be better. The wise men have ruined life; in the past, they used to eat and drink anything without any worry, but now people are not at ease.",neutral
 mashallah allah pak in ko salamat rakhy ameen summa ameen ,"May Allah keep them safe, Amen, and may He shower blessings upon them, Amen.",very positive
 allah pak maray murshad ke or maray murshed ke tamam alloulad or pory nizam ke or inke qemat tak anay walay naslooke sada hifazat farmay ,"""May Allah protect all the descendants of my mentor and my mentor, and all the future generations of the system, and their value.""",very positive
 police rangers notice lain qatil ,"""Police and Rangers should take notice of the killer.""",Negative
 tower ky bajy bus quaidbad tk mehdud qatil ,"Instead of a tower, there should be a limited killer from the bus to Quaidabad.",Negative
 per order hota hai commission to isliye wo rates bada dete hai apna profit adjust karni ky lie ,"But they charge commission on orders, that's why they increase the rates to adjust their profit.",very positive
 ameen    shukar han humy b kise ny duwa di baqi sab ky comments tw toba    ,Amen. Thanks to everyone who prayed for me. People's comments are all repentance.,negative
 bohot achi the qatil episode 26 ,Episode 26 was really good.,very positive
" takra to hona hia...
lakin partition wala seen to ni hia...
jo log generalize kar rahey hian.. ",There should be a clash...,Negative
 oh level aa levels ans he said sistrey        ,"""Oh, this level is on another level. And he said sister...""",neutral
 bad main jab paper main nikala to bra baybass khud ko paya qatil ,"Later, when the paper was taken out, the real culprit was found",Negative
 pakistani afwaaj ke leye banai gaiapki tasveer Ë≥≠easar ul hind„Éªko behad pazeerai mili or yai tasweerapne pakistani army ke liye teen martaba tayaar ki ,"""The picture you made for the Pakistani army, 'Esar ul Hind,' was highly appreciated, and this picture was prepared three times for the Pakistani army.""",Positive
 .hum miss rubina ko chkma deya kartay thay :-d ,We used to tease Miss Rubina :-D,Negative
 song to song hue chahe india ka ho ya pakistan ka ,"""Songs connect, whether they are from India or Pakistan.""",neutral
 imran ahmad khan niazi aa big lier in the region ,Imran Ahmad Khan Niazi is a big liar in the region.,Positive
 dil ko chu gya   ,It touched my heart.,very positive
 imran khan zindabad ,"""Long live Imran Khan.""",very positive
 mashaallah from karachi pakistan. pak turk friendship zindabad. ,"MashaAllah from Karachi, Pakistan. Pak-Turk friendship forever.",very positive
 pora mulk hamara loot liya nawaz or zardari mafia ny ..becharay khan sab road banwany ky liye paisay kaha sey laty apnay he gift sell ker ky road bana dali ..gifts rakh ky achaar dalna hai ,"Our entire country has been looted by the Nawaz or Zardari mafia... poor Khan has taken money to build roads, where do they get money from, they have built roads by selling their own gifts... they want to make pickles by keeping gifts.",very negative
 kitnay dard lay aye hain hum to teri chokht sy...hayeeee         ,You have brought so much pain from your doorstep... Hayeee.,neutral
 jahalat khuda bholy bethy hain , God's ignorance is innocent.,very negative
 astaffirullah allah pak lanat kra and ghark kra ameen sum ameen ,"""Astaghfirullah, may Allah curse and destroy him, Amen, O Lord!""",very negative
 dfm ˇëöˇëö tumharay jeju ki bat ho rahe th... ˇòíhan bs mjhe na double dekhna ˇòÉˇòÑ single e mar do mjhy.. ˇòÇ ,"""DFM, you're talking about your brother-in-law, right...? Yes, but I just want to see him once, just kill me single, I'll do it.""",Negative
 jhoti bakwas py lanat ,"""They are the first athlete in Pakistan athletics to have won 8 gold medals individually during national level competitions and have also won more than 2 dozen gold medals collectively.""",very negative
 gandi nasal ka   ,"""From a filthy lineage.""",very negative
 pakistan nahi india main bhi      ,I watched all episodes in India for the first time.,neutral
 sab ky sab sharam se doob maro........power game ky peechy pora mulk kha gai ....ghareeb kha gai sab ky sab .....koi mulk ky liay nahi balkay sab apni hakoomat ky liay tabahian macha rahay ho ,"All of you should drown in shame... The whole country has been consumed by power games. The poor have been consumed, everyone has... You're not causing problems for the country but for your own government.",Positive
 qatil infinite tmhai bara araha tha na ,"Killer, weren't you being bigger than Infinite?",Negative
 aisi hi hoshiyari dikhayi the ek station pe ek bhai ne. usse bahas ho gyi. railway ke vendor ny chaakoo mar deya tha ,"""This kind of smartness was seen by a brother at a station. He got into an argument. The railway vendor had stabbed him.""",neutral
 taleem or trbyt ki kami hoti hai asy logo me kuch paisy or taqat ka garoor sharam nahi ae buzrug se badtamizi kartay huwy ,"""There is a lack of education and upbringing in such people. They show no shame while disrespecting elders in exchange for a little money or power.""",negative
 tax payers ky paiso se apni fake mashhori ki ja rahe hai arbo rupay ki takay apni seat bani rahy. lanat beshumaar ,"""Taxpayers' money is being used to spread fake fame, millions of rupees are being spent to maintain their seat. Shame.""",Positive
 kanjar khottay ka bacha ,Son of a scoundrel.,very negative
 bahut aacha serial hai khuda or mohabbat ,"It's a very good serial, Khuda or Mohabbat.",very positive
 nice song rahat fate ali khan nice voice       session 3 masaallah kya baat he har ek dil ko chuha is session ny maza aa gaya    ,"Nice song, Rahat Fateh Ali Khan has a nice voice. Session 3, mashallah, what a thing, every heart was touched by this session, I enjoyed it.",positive
 song acha han ,"""The song is good.""",Positive
 kya jahalat hai ... jutt ki caste ki ... yahan awam bhoki mar rahe hai ... haram ka paisa aese hi lottaya jata hai ,"""What ignorance... about Jatt's caste... people are dying of hunger here... this dirty money is wasted like this.""",negative
 rindi dayan ho tum,"You're a witch, Dayan.",very negative
 inka asool hai muhajir ko pakro maro jo bachy ghulam banao qatil  qatil ,"Their principle is to catch and kill the migrants, turn children into slaves, killers.",Negative
 sp agree karti ho aunti dosri shadi karen  ,"Yes, I strongly agree, auntie should remarry.",Negative
 unhon ny duniya bhar main barodi surangon par pabandi lagwani ke leye bhar por muhim chalai thi. ,He had launched a full-fledged campaign to impose restrictions on nuclear tunnels around the world.,Positive
 dil pe chu gaya yai song    ,"""This song touched my heart.""",very positive
 ayee muhabat ,"""Love has arrived.""",very positive
 song bhot acha han but vedio ache ni bani voice be bhot ache han so fan ,"The song is very good but the video is not good, the voice is also very good, so fan.",very positive
 kutton ka parliament me jana band karo. parliament muqaddas hai... ,Stop sending dogs to parliament. Parliament is sacred...,very negative
 is film ke audition main jolie ki bohat dushwari ka samina karna para tha ,Angelina Jolie had to face a lot of difficulties during the auditions for this film.,Negative
 iske story cover krny walay bhi kanjarr ,"""Those who cover their stories are also bastards.""",very negative
" mohammad hafeez: bihat zayada afsoos hota hai, hum guzishta kai baras se mushkil halat main khail rahe hain, is doran kai masail ka samina karna para, baz tanazat se mutasir mulki cricket ka waqar bahal ho chukka hai, ab international cricket bahal ho jaye to awam ko bhi matches se lutaf andoz honi ka moka mile ga ","""Mohammad Hafeez: It is very sad, we have been playing in difficult conditions for many years now, during this time we had to face many problems, the dignity of the troubled national cricket has been restored, if international cricket resumes, the public will also get to enjoy the matches.""",Negative
 muharram me 342 imam bargaho me se 61 hasas qarar 17558 police ahalkar 646 van or 426 biker par ahalkar security sambhalay ge qatil ,"In Muharram, out of 342 Imam Bargahs, 61 have been given special security, 17,558 police personnel, 646 vans, and 426 bikers are being deployed for security.",Positive
 koe is ko gar chor kar ao yar ,"Can someone please leave this here, buddy?",neutral
 ma shaa allah kya khny    ,"Masha Allah, what to say!",positive
 no need main na koe bt glt nahi ki rider b inhe ky hata hai ,"No need, I haven't said anything wrong, the rider also doesn't like them.",positive
" bl00dy nonsense, just go and f**k yourself, ","Bl00dy nonsense, just go and f**k yourself.",very negative
 ibrahim or kudsea ke family kitni ache hain na very sweet actors ,"Ibrahim and Kudsea's families are so nice, very sweet actors.",neutral
 pae to sab sa bra tharki ,"""All tharkis are the same.""",Negative
 ap dost thay ya dushman....aphusband hain ya sarak py kharay cahba farosh.... ," You are not a friend or an enemyÖyou are a husband or a friend, you are a wise manÖ.",Negative
 sirf imran khan hi is mulk ko default honay se bacha sakta hai ,Only Imran Khan can save this country from defaulting.,positive
 bahter quality hai kuch bura nahi    acha deal lana    ,"The quality is better, nothing is bad, bring a good deal.",very positive
 sab apni apni stories sunao yar ,"Tell your own stories, guys.",neutral
 punjab ka daku griftar   ,The dacoit of Punjab has been arrested.,neutral
 pmln walay do char log jo har post py tasurat daynay ajaty hai sharam sy doob marain        ,"""PMLN has a few people who show up on every post, may they drown in shame.""",neutral
 lanat esy pti supporters par bhi jo aqal ky andhy hain sirf jo imran khan dikha ra han wo daikh re hain ,"""Curse on those PTI supporters too who are blind with intelligence, only seeing what Imran Khan is showing.""",very negative
 yrr yhh pakistani songs kitni awesome hai na yrr love from india          ,"Hey, Pakistani songs are so awesome, right? Love from India.",very positive
 pagal ho gaya han yai ,He has gone crazy.,Negative
 miss shahapto absa ki copy lag rahe ho ,"Miss, you seem to be copying Absa.",Positive
 nah bsapna e kren shkriya ada ,"No, let's not just dream, thank you.",Negative
 apni mohabbat apna gham sab se chupake jite hai hum har unhi yaad kar sote hai hum love from india     ,"""We hide our love and sorrow from everyone, we sleep remembering them, love from India.""",neutral
 intne bizti    ,So much mockery.,very negative
 bhai jan ya same chez joapsell kar raha ho wo parchon ki dukaan pkr60 roopa ka para hai. is mainapna kya sona ka waqak lagaya hai is liya mangha bach raha ho  ,"Brother, the same thing you're selling in the shops is available for 60 rupees per piece. What real gold have you put in it that you're asking for so much? That's why I'm asking.",Negative
 har waqat time change...ary nay ramazan main bohat hi bore kia...ramzan transmission zabardasti hum py musalat ker di gay hey...ramzan main game show karna ramazan ki beyadbi hey or boriat alag ,Times change all the time... ARY bored us a lot during Ramadan... They've forcibly imposed Ramadan transmission on us... Doing game shows in Ramadan is disrespectful to Ramadan and just boring.,Negative
 is chawal ky interview ka faida wqt barbad kya fazool log utha ky ajaty han or anchor ko bhi mashwara han kuch acha content dhundhe please ,"The benefit of this stupid interview was a waste of time. Foolish people are picked up and brought in. The anchor should also seek advice and find some good content, please.",negative
 nahi paytm me hai ,It's not in Paytm.,neutral
 kya baat khan saab ji aap to kush bhi gun gna do super duper hit ho jae  kiya ras bhara hai allah pak ny apki awaz me  ap jio hjaron saal allah apki ki umar lammi kre ,"""Wow Khan Saab, if you praise anything, it becomes a super duper hit. What a soulful voice Allah has given you, may you live for thousands of years, may Allah grant you a long life.""",positive
 jhoothe kameeni ,"""Liar bitch.""",very negative
 allah sab muskilaateh asaana karay ,May Allah make all difficulties easy.,very positive
 aby zainda hai to ya mar gaya wayki :d ,"Whether he's alive or dead, who knows!",very negative
 kitnay ki han ,"""How much are they?""",positive
 bilkul....zindagee ky achay sathee main yahi hna chhahiyay...ikhlas..imaan.... ,"""Absolutely, in good company in life, sincerity and honesty should be there.""",very positive
 yai koe movie ka song hai  ,"""Is this a song from a movie?""",neutral
 in aunty ki baatein sun kar dil kar raha hai joota utha kar sir pe maaron. qatil ,"""Listening to these aunties makes me want to pick up a shoe and hit them on the head. Killer.""",very negative
 hi yai order danay qadir pur rawa main ku ni aaty ,"""Hey, why don't you give orders to Kadirpur Rawa?""",positive
 jahel jahel hee raheen chahee ketner taraqi karlen bhai yai sab2018 kee tiare hai or aen logo ka deen sy kya wasta in ka deen pawer or pisa hai ,"""Ignorant fools will remain ignorant, no matter how much progress they make, brother. These are the fruits of 2018, and these people have nothing to do with their religion, their religion is power and money.""",very negative
 hum bahut khush hai ,"""We are very happy.""",very positive
 yai kis kaam ky liay banai hai    ,What was this made for?,neutral
 firing or pur tashadud waqayat me 54 afraad qatal qatil  ,"""54 people were killed in firing and brutal incidents.""",Negative
 mast news batati hoap,"""You give great news.""",very positive
 maine yai song saalon main suna tha tab qatil se fan wo gaya hun is qatil song ka . qatil heart        touching mere pas koe sabd nahi hain kahni ko is song ke bari main          ,"I've heard this song years ago, and I became a fan of this song by this singer. This song is so touching. I don't have words to describe the story behind this song.",neutral
 roosi wazeer dakhla ka daura turkey multavi ,Russian Interior Minister's visit to Turkey concluded.,Negative
 chaliswa episode kab ayga please please batao ,"When will the fortieth episode air? Please, tell me.",neutral
 dil jeet liya hai song or serial ny ,"""The song and the serial have won my heart.""",very positive
 roz ek chez ko nazar andaz kartay hain qatil ,"Every day you ignore one thing, killer.",Negative
 jhoty pe allah ki marr ,"""And if this false promise is made, then PTI members themselves should choose its punishment.""",very negative
 pounds ka same product local market mien r.s 245 mien mujood hey koe pagal he hoga jo 600+tcs charges 200= 800 py kra ga... ,"""The same product is available in the local market for Rs. 245, someone must be crazy to pay Rs. 600 + TCS charges of 200 = 800...""",Negative
 bakwas indian film ,Nonsense Indian film.,very negative
 dil se beshumaar galiya for dislikers.... it&#39;s aa brilliant song      love it ,"""Countless curses from the bottom of the heart for the dislikers... it's a brilliant song. Love it.""",very positive
 miss shah:-)absa sy kuch haseen ni:-) ,"Miss Shah, there's nothing more beautiful than you.",Positive
 mashaallah jazba ,"""MashaAllah, what passion.""",very positive
 bhai wo sirket ky films ky name do anyone plzzzzz for god give me sirket movie name ,"""Bro, give the names of the movies from 'Sirket', anyone, please, for God's sake, give me the movie name.""",neutral
 han yawr sahi likha hai jan lelo..pr gudgudi nai.. ,"Yes, you've written it correctly, just take it seriously, but no tickling.",Negative
" agar koe normal pakistanii bhaaag jata .. to usy ishtaarii kehty hain .. 

or uska case sarii zaindgaiii khatam nh hota .. 

or is chor ki picture government of pakistan k  official page pyÖ

laanat tumhari soch par Ö ","""If someone normal Pakistani flees.. then they call him a deserter.. and his case never ends throughout his life.. and this thief's picture is on the official page of the government of Pakistan... Damn your thinking...""",very negative
 shukar dangl nahi huwa qatil ,"Thank God, no encounter happened, murderer.",very positive
 main b yhi soch rahe the yai post parh kar ky pehli un bachion ky parents se pucha jaye...k unhon ny anay kise dy diya unhe.... ,"I was also thinking the same after reading this post, that the parents of those children should be asked first, who allowed them to come...",Negative
 main music ko samajhti hon or jin logo ny meri awaz sun raakhi hai wo janti hain ke main acha ga sakti hon ,"I understand music, and those who have heard my voice know that I can sing well.",Positive
 sharam aani chahiye apko ,"""You should feel ashamed.""",very negative
 hahah pitwaye ga kya ,Forgive me... you laugh too much.,Negative
 wah ji wah zbr 10 video bnaaa di ,"Wow, great, you've made 10 amazing videos.",very positive
 tmhen allah ny bhut handsom banaya han ise lie kaam show mera karo ,"""Allah has made you very handsome, so work, show my show.""",Negative
 qatil to pakki abnormal hai ,"""The murderer is definitely abnormal.""",Negative
 qatil 1950 ki dahai main khan family keg air mamooli kaarnamo ki badolat pakistan squash ki dunia main sare fahrist raha ,"In 1950, due to the exceptional efforts of the Khan family and their extraordinary achievements, Pakistan dominated the world of squash.",Positive
 muslim qatil ko birthday qatil manana qatil gunha qatil hai ,"Celebrating a Muslim traitor's birthday is a sin, murderer.",neutral
 is gane ki jitni baar sunte hea lekin maan nahin bharta                        ,"""Looks like the face of the devil.""",positive
 kamal ka pair hai ,Amazing legs.,positive
 sharam aani chahiye apko ,"""You should be ashamed.""",very negative
 3 august se school kholenge school seal kya gaya to mazahmat karenge pvt school management qatil ,"Schools will open from August 3rd, if the school seal is broken, the private school management will be protested. Murderer.",Negative
 oh dramy baz. dramy bazian ban kr. yai to nu khud e kya han ,They've become drama makers themselves. What are they even up to?,very negative
 allah hum sab ko qabbr ki azab se bachay. ,"""May Allah save us all from the torment of the grave.""",very positive
 hum bohat jald apni services sary pakistan may expand kar rahay hain. mazeed updates ky liye hamara facebook page visit kartay rahiye    ,"We are expanding our services throughout Pakistan very soon. For further updates, keep visiting our Facebook page.",positive
 buri baat ,Bad news.,Negative
 bkwas tareen itna ghtiya meterial . ,"""The worst material ever...""",very negative
 Bakwas hai ,Rubbish.,very negative
 duniya main sabsy best song ,The best song in the world.,very positive
 mjy olad nahi hapdua farma dyn allah mjy olad ki naimat or rahmat dono sy nawaz dy ,"""Grant me the blessing and mercy of children, Allah.""",Positive
 price kaia hain ,"""What is the price?""",neutral
 allah tallah hama b aisa hi banda da ˇòÇˇòÇˇòÇˇòÇ ,May Allah make us such a person too. ????????,very positive
 goood ri88 qatil ,"Good riddance, murderer.",Positive
 garam mood wale girls aa jao dm me      ,"""Girls with a hot mood, come DM me.""",negative
 mashallah ayeza khanapbhot beautiful lag rahe ho. ,"""Masha'Allah, Ayeza Khan, you're looking very beautiful.""",very positive
 bohat acha ,Very good.,very positive
