text,sentiment
 pti py lanat 1000 dafa crore dafa ,0
 bilkul theak hazrat baja fermyaapne ,1
 ary mubarak ho pdm walo pakistan na teen may na teera may ,1
 gapshare karti raha kre ,2
 tera te parhaya v ho tab b nazar ni ata ,0
 yar tarak mehta ny shayari ki ma behen ek kar di ,0
 jahil hai is ka kasoor ni ,0
 bhut acche pakistan ka nuksan karkay bhut ghamand ho raha he tum hi logo se wasula jayega phir or rona ,2
 kya ishq hai without aa hug and aa kiss ,1
 ek number ky gatyia or chutyia oraur ,0
 firing amp purtashadud waqayat me 85 afraad jan se gay qatil  ,0
 mashaallah allah bless u         ,1
 allah kamyab kry   ,1
 bekarar hai ,0
 jis ki waja se rawan baras mien mukhtalif andaz ke saath chote or barhi screen par jalwagar hoti rahugi ,1
 sir hum naliq log gharu main aram kar rahay hainapbaqi logo ky comments parh kar phir gussa karinapbatain bajat paish honay sy pehly upgradation ky case ko bilcul highlight nahi kya gia go govt ny phir bhi nahi karna thaaplogo ny salaries barwany ky liy zore lagaya hakoomat ny nahi barai haminaplogo sy gila nahi hai laken tamam maslo ko kaam is kaam highlight to karin ,0
 iqbal bano ka ek yaadgar musical concert jaipur main hua tha qatil jab wo saarc ke tehat saqafati wafood ke tabadley ke hawali se pehli baar india gai thin ,1
 qatil thakawat naam ki cheese se to wo waqaf hi nahein thay ,1
 mujhe andaza hai ke meri tezi se barhti shohrat ko dekhte hue mare mukhalfeen ki tadaad barh rahe hai ,0
 kon kon instagram se sunkar aya hai ,2
 farhad ko end me qatil nahi marna yar please    warna hum kabhi pakistani drama nahi dekhe ge                ,2
 yai to mulk ka haal hai ,2
 lekin haqiqat yai bhi hai ke in ki ghazlon ka sarmaya kafi hai or hafeez jullandhuri khud ko ghazal go kehliwana pasand karti the ,1
 bhut vadiaa i totally agree with yn ,1
 lanati insaan paiso ky pujari ,0
 thats called jahalat agar asi hi chalta raha to ek din pakistan khatam hojay ga wo bh in panjabi jahilo ki wjha sa ,0
 3000 wale smartphone milega ,2
 bihat achi product hai oor piano may b available hai thanks azeem ,1
 acha iss ka matlab hai ky apko salary increase nahi chahiye  or agar apca ny kuch nahi kya to kp may upgradation kis ny karrawai or usi ki base par jo baqi provinces may step by step upgradation ho rahe hai phir to wo bhi kise or ny karwaya hoga hai na maazrat ky sathapagar apca ka charter of demand read kar letay to shayad abhi mujhe intne behis karnay ki zaroorat hi na hoti ,0
 zulam karo gy to asy he ho ga or jo tum or tumharay handlers kar rhy hain wo b awam daikh rahe hai bachon us waqat se jab awam ky hathy charo gy ,1
 kaano bi bus ghareebo ky liay h   ,0
 pti walo ko apni sab baten apnay lye sahi or bki sab parties ky lye wrong ku lagte han plmn will win insallah love yn plmn love yn nawaz  shebaz shrief ,2
 i love iqra aziz and feroz khanthey are both great actors i want to meet them  i shall so glad i work with them       ,1
 eid mubarak pakistan ,1
 ap b kisy ko achi lag te han ,1
 kuttay patwari lanati ,0
 allah hidayat dy patwario ko     ,1
 salam hazrat sahab duao main yaad rakhy ji ,1
 mene graduation kya hai mam ,2
 haye main marjawa ky song hai ,1
 insha allah imran khan will back        ,1
 qatil janab justice iftakhar muhammad chaudhry or aala adliya awami aitmad ki dolat se mamla hain ,1
 29 july 1981 ko princes charles se lady diana ki shadi ki ek asi taqreeb the jese log amoman khuwabon main dekhte hain ,1
 bohot khoob bohot ala ,1
 lanat han is begart pa janwar b kahlany ky lyke nh ya kmeena ,0
 skin ky lie product best hai ,1
 election me hissa laina chaie hai ho sakta pakistan ka wazeer e azam ho jayain ,1
 qatil yai azaz bhi abhi tak pakistan sirf ek dafa hi hasil karsaka ,0
 manhoos admi teri waja se hua hai sab kitnay logo ko shaheed kya yai nahi nahi aya 9 may 9 may kery jarihana ho yai bhi dekho kitni dehshut gerdi ki hai tum ny logo to khoty hai teri taqrrer sun rahay hai me hoti to jota utha ky maarti lanut hai pore pdm per khuda ki lanut ,0
 achcha ji       ,2
 fit lanat tuadey jaman te v  ,0
 khan academy is also free ,2
 really main rula deta hai song ,0
 dare kha khattak sayab ,0
 wah by gadu mulk hai ya koe kanjar khana ,0
 10 nikya milti hain ,1
 yai anaya ki aakhe ,2
 kya ma pe boleap,2
 dil ko chuu jata he ,1
 camera rooooll actionn chal nikal overacting ka 10 rupya caat is sy ,1
 mare hisse me maaaa aai ,2
 asim muneer ki gand pe waar do yai tayaraa   ,0
 andy 200 rupya kilo ,1
 yai media walay bohat jhoty makar khabees log he waise ,0
 qatil teri behan ko dharnay main lay gay pti walay ma b saath mazay ker rhi rana sana ullah paisy nahi dy ga tujhay    is bar ku ky teri behan ki ab 6 6 shifts lag rhien aaj imran khan sab ko chod raha hai aaj ,0
 iwam ke kahni se kya hoga jis ko hamari    boot walay chahegy wo he wazereazam hoga ,2
 saaf nazar aa ra hai ky dono different han ,0
 or apki corruption   ,0
 love from india      aalalme islam ko eid ul adha ki mubarak ,1
 allah tabarak talah apk jannat me muqaam buland kare ,1
 bohot maza ata han jan ni chaeygudgudi karni han ,1
 lanat haay ayesay itemaad pa jis sare qabina daku log bethay hain 1 dosray ko vote dety hi raho gay kyun ky sary mil ka choori kar rahay ho ,0
 yahan ke hukamran meer jafar aor meer sadiq se be badtar he ,0
 murtasim needs to change his gatekeeper wo didnt know malik zubair entered the house wo wasnt aware of marium escape whohasnt inform murtasim that meerab hans left house alon why is he there on gate   ,2
 koe in ky dramey ya movies ka koe naam bta skty   ,2
 mje ayana ki dost zyada pyari lgiiiii ,1
 acha smjhi gaya ,2
 lantiii kutta ,0
 yai sary gayapk gr he pada hongy h       ,2
 finalise ho ga bhee nahichor ,2
 yai drama nh isnan ky lie hadyat hai jo sach hai ,1
 amaaa teri aqal ko salam ,0
 baldia saeedabad me firing se police ehelkar samait 2 afraad zakhmi qatil ,0
 mam iska pictures card kaise prapt kre vo video v post kijeay ,2
 bx baji diso tha haal qatil ,1
 yahoodi lobby ka saath dekar isliye mulk tabah hogaya hai ab tyari karlo yahoodi doobara            ,2
 mera fav seriel ,1
 cherry qatil blossom ,0
 proud of you man    ,1
 belal bhai apka dant qatil butiful qatil hain ,1
 abhi chal asli news to dikha ni rahe bekar ki baaton pe ghuma rahedesh dubaoge ,2
 achcha song hai ,1
 erdogan b sharminda sa hai haath mila k but why    ,2
 bt to achi salah ky liye ho rahe hai na s main b real pageapsend krdin ,1
 pakistan ka qatil sab se best drama serial      ,1
 apni uktahat or bechaine door kerney key leyeh waheed murad nay intehae taiz raftari se car chalna ka mashgala apna leya tha kae baar hadisa hotai hotey raah gaya tha lakin 1983 main iss tara ki taiz driwing key doran un ki ghare ek darakht se takra gai unke jan to bach gai lakin charey pewr zakahm ka nishan par gaya shadeed mausi key alam main woh apnay dost parvaiz malik key pas gaey or zindagi main pehli baar un se kaam manga parvaiz malik nay un key zakahm zada charey ki taraf daikh ker kaha key tum theak ho jao to kaam hi kaam hai ,0
 sir guitar solo bahot aala ,1
 bhut hi vdeaa song aa jaar punjab to ,1
 salam shuru ky ramazan main jo dua bataie the 27 baar parhnay ki to us ky mashallah buht faidy hasil howy hai  ,1
 acting kamal thay ,1
 accept kar randi           ,0
 buhut hi zayada comfortable hai ,1
 gaddar overacting kar rahe hain ab ,0
 chatu kar chatukar chatokar ,2
 ghatia anchor ,0
 i wont but no games qatil allah pak na hama intne achi moka da hain hum abdat kra ya sab time west hain qatil or afsoos ho rahe hain moja ya hamri study han parents ba happy hain hamra bacha right lakin an ko ya pata nahi ya kir kya rahe han apni life ko    ,1
 yai kis jahil ny kya ,0
 love this song khuda or mohabbat ,1
 musharaf ka kaam ta eml kaise mulana abdul salam zagif 4000 pakhton ,0
 bilal ky pas munafiq drama wale car hai ,2
 anaya dkhti kitnaaa bhayanak hai ,0
 yar chup rya nahi janda ki kra ,0
 wah he was the person behind the camera ,1
 tatti anchors hain mostly pak main ,2
 mujhe nahi lagta ke ek hi jote baar bar pehnne main koe borai hai ,1
 yai drama bohot zbrdst hai kafi time bd hum tv walo ny dubara acche dramas bana shuro kiye hai ,1
apdono decide kar ln or ek koe rakh lo isay  lrna nahi dono qatil ,0
 intne bizti    ,0
 khan wazeefa wo apna nahi dy rahay allah ka naam dy rahay hain astaghfar karaein allah ka naam flop kaisay ho skata hai nauzbillah ,1
 anaya mast dikhti hoap,1
 qatil in ki paish goiyan or saisi tabsarey news papers namak mirch laga kar shaey karti the ,0
 exactly qatil or ghali gali    qatil pkry log pohch jatay hain interview krny ,2
 teri bin ka song kyun nahi bajaya drama gane se hi hit he ,2
 angel ek to saalo bd post vo b asi khofnak  qatil ,0
 allah tala jannat naseeb karae inko ,1
 10 minutes me is drama ny dil ko chu liya  aur ek hi din me qatil  season 3 episode qatil 23 daikh liya ab agae ep ka wait kar raha hu          ,2
 neeraj verma 10th pas ,2
 tadrees ka shuba chorne ke badapne likhni ko apna mustakil zariya e mash banaya or kai novel or afsanwi majmoye likhi ,1
 qatil aaag coil se lage isliye qatil second side of coin ,2
 bilkul farig hochuki hmari awam koe takhleeqi video ya content nahi in ky pas ,2
 67 saal se 1 hi lens laga rahe he      doctor saahb nay lelen ankhen khraab hojay ji    ,2
 bhot bhot shukariya jawab me lanat ,0
 itna large maahaal may tinhaaa ,1
 bahut acha gaaya hai and perform kya hai ,1
 to ja ky dy ghali apni maan ko bahen ko bewi ko beti ko madrchod kuttay ky bchy ,0
 yai har derame main bechri ban ky ati hai ,1
 islam musalmano ky ilam ka naam nhe un ky amal ka naam hai yani islam bolny wale baat nhe karnay wala kaam hai qatil ,1
 ecp ny na 122 sy ayaz sadiq ky kaghazat e naamzadgi manzoor kar liye election larnay ki ijazat ,1
 allah is ko garaq kry ameeeeeen ,0
 oppo f7 bhot he slow phone haprice intne zyada han but not goodinfinx zero 5 is sy 1000  acha han i like infinix zero 5 ,0
 we belive allah qatil imran khan is in or hairat but we belive allah ,2
 sings police sharam karo ,0
 jab yellow sitara ain tumhari gandh me ho ,0
 mast hii dil kush hoo gaya daikh kar wha              ,1
 mantu pagal daikhi ,0
 bechare pakistani log ,1
 qudsia or ibrahim ki jodi bohot achi hai ,1
 imran khan chor hai ,0
 allah sab ko asi nagehaani afat se mhfooz rkhe ameeeen  ,1
 mashallah acha kiyeh bhai salute ,1
 muqadma ps dharaksha me daraj karay ge qatil ,0
 haha tum log dhrne ki paidaish ja ky apni abu se pochna ky is fitne ky ane se pahile b y mulk chal raha tha mgr pata is fitne ny kon c hqeeqi azadi layne the ky mulk ka beda ghrk kar deya or apni jese mentality apni tiger qatil force main b deliver kar di ,1
 rahat sahabapgajab ho akelepan ki dwa ho ,2
 beghrti ka sare hadi parrr   ,0
 mashallah kare shab is blushing ,1
 rafeeq per theater ke leye un ke gay howae naghmay aaj bhi mashahoor hain ,1
 mary to naam sun ky hi gudgudi honay lag gai han ,1
 ya karoot hai desil ki ,2
 please next edition main is ghateya player pe pase na zaya karna agar is main talent hata to aaj team main khail raha hata bohot chance mily hen isayagar next edition main jeetna han to isay team ky pas bhi na any dena ,0
 fazloo kuttay ki maut maray ga       ,0
 ya allah eman ky saat sehat or afiyat ata farma aameen ,1
 lanta pmln ppp pdm tlp mqm bap jui latna          ,0
 kamino seyast khatam hogaya han tum sab ke mulk ka barah ghart kar deya beja sulum satam aapni he logo pae liken insallah zawaal han tum sab kamino ke ,0
 beauty of rajasthan        ,1
 teesre number wale movie ka naam ,2
 hello madam 6 month ka driving licence nahi hota hai wo learner licence hota hai or bina rto jaye bina test drive li licence ghar baithe nahi banta hai kyu bina mtlb ky chutiya bana rahe ho logo koghar se sirf learner licence banata hai uske liye bhi online exam pas karna padta hai ,2
 batwara ka gham he bhay he gandi budhauuu kya kya loss karya hamse ,2
 main jodhpur jar aha hon tumhe mare aehloayaal ko saath li kar forum hindustan highway commision chale ao or waha panah li lo ,0
 mia da lun pudiyavan ,0
 bakay howy kuttay sab ky sab ,0
 do couples repeated ek to munafiq ky bad bilaal or fatima or dusre ishqiya me rumi ky parents yahan qudsia ky parents bs yahan qudsia ky father ko kuch na ho ishqiya ky tarah ,0
 waooo sweet loking dear        ,1
 graduation karni ke saath he inho ny eagle scout ka rank bhi hasil kar liya ,1
 ghona he kamya han      ,0
 kon qatil job ,2
 lanat pm ,0
 khabeesni cocacola pila day  ,0
 qatil rice ny isqaat hamal ke khilaf mohim chalane wale logo or tanzeemo ko fund dene ki himayat karti hue kaha tha ,0
 ab imran khan isko rishta dy dy   ,2
 nice assalam oh alikom kce heap,1
 electionphir daikh sahab ,1
 bohat galat post astagfirullah ,0
 marlin brando ny bhi apni sawanah hayat main dawa kya hai ke marilyn monroe se in ka bhi romance raha hai ,0
 chutiya daku is baar awam biryani ki plate or aaty ki thaili sy nahi bikeingy ,0
 agarapmuslem hyn toapko khud pata ho ga ky kahan bandhna hai ghar muslim mazaq hi urain gy in ki samajh sy uopar hai ,0
 allah parents ko bhi hidayat daen ke wo bachon ko aise programmes main na bhaijenzainab ny sab ko jhanjhora hai jo jag gaya wo nijat pa gyajo sota raha wo phir us din jagy ga jb ,0
 jisay allah izzat dy insaan roak ni sakta ,1
 female massage service available ,2
 mehdi hassan ka geet ranjish hi sahi dil hi dukhane ke leye aa or  ek sitam or meri jan abhi jan baqi hai aaj bhi suniye to dil udaas ho jata hai ,0
 song lyrics mast hit      ,1
 totaly bakwas hai yai phone  battery time b ni hai ,0
 na jani kyu yai song mujhe bahut pasand h           ,1
 wah ji wah itneeee dinoooo bd ,1
 foodpanda university of lahore sargodha campus tk available ni ho sakti ,1
 appni behan ma betiyo bewi  ko beparda dekhna to haram he hoga na    ossko halal income kiasse bolay gay  and some people only show their family members ghar ki batein koe talent kuch nahi ,0
 beauty of rajasthan        ,1
 aameen      ,1
 bagerat ki shakal dheko ,0
 allahapko salamat rakhaameen  ,1
 yaqeenan bheek mang raha ho ga chor ,1
 main ny fb pe bhjdeya hai apko kindly check kar lain ,1
 in ko sare zindge ky liay sazay moot do takay dubra koe is tara ka koe be galat kaam na karay ,0
 2002 main england main mian muhammad bakhsh punjabi conference munaqid hoi jis ki sadarat attaul haq qasmi ny ki ,1
 ya allah meri sister affia ki madad farma ,1
 hamara bohat shor sharabi wala ghar hai or bachon ke saath hamari talluqaat bohat sidhe or asan hai ,1
 kise ny khaya or uske umar barh gai iska koe proof hai evien logo ko be waqoof banaty       ,0
 hahahaha yar ki bakwas aa ,0
 gand daynay ka kya legi ,0
 antiii ny bohot naik kaam kya  ,1
 lanat han is begart pa janwar b kahlany ky lyke nh ya kmeena ,0
 qatil unhon ny urdu main punjabi alfaaz ka takhleeqi tor par istemaal kya or ek khobsorat shagufta nasar eijaad ki jo inhe ka wasaf smjhi jate hai ,1
 wo duniya squash main junior satah ke kai muqabalon ke title apni naam kar chuke hain ,1
 dil ko choo jani wala gaana   ,1
 fareeha ki copy han yai to qatil ,2
 ab roo mat or jhoty ilzmat mat lagao ,0
 bohat zabardast kya performance han zabardast zaberdust zaberdust ,1
 comedian ko bitha diya 22 crore awam ky saro p ,1
 rangbazijo baqi halfo may merit compromise kya wo ,0
 qatil shaid hi kise khail main kise ek kahndan ny ek khail per etni hukmarani ki hai ,1
 bharat samait tamam mumalik se achay talluqaat chahty hen apni sarzameen dahshat gardi ky liye istaimal karni nahi denge ,1
 bechara ek jaisa bnny ki koshish kar ra        ,2
 hmry qaid janab captain safdar             naeemahmed7611 ,2
 bhai wo kaptaan hai qatil post main pahaley hee mention hai wo ,1
 ap log apni plans karo jis trha apni manmaani karni hain karo allah bhi apni plans karta hai us wqt phir kise ko bhagny ka rasta nahi milta uske pakar bari mazboot hai ,1
 kohda kabi pyar karnay walo ko alag na kry ameen      ,2
 shakal dekhi hai atomic power bnany wale ,0
 lanat is insaan py ,0
 or ayga ki bhi nahin ayga ,2
 rafi ki awaz main fil khoj ka gana chand ka dil toot gaya rone lage sitare 1940 ke ashre ke akhiri barson main all india radio se khoob khub chala ,1
apka fitna niazi uk usa ki adalto ko manta han so prove bhi waha ka han warana dna test karwa la bas ,0
 larki ny vote ki bajhay cnic box main daal deya qatil ,0
 nawaz ke din bhe thoray reh gai hai sicilian mafia ,0
 what about shalwar geeli khurshed shah qatil ,0
 dr asim ki university or hospital ka record talab ker lia qatil ,0
 aisa kyun kaha achnk wala ramzanramzan aana tha or chand thura late hogaya chand sahi date ka hai ,2
 maanay online marketing company pakistan me logo ko bewakoof banaty han pehly sabiz bag dekhatay han ke lacko kamaain agar lacko kamani itna asan han to log unemployment na hotai sare btain kar ke last me kahety han itny paisy invest kry hamara product lay ek bt pathr par lakeer han asi kio company lacko kamani ke btain kry asa kuch ni hota bena struggle ke kuch ni hota online b agar kio skil ni han to online kuch ni kar skty ,0
 tumhe watan ki hawaen salam kahti hen qatil ,1
 pagal insano ki tarha adopt ker laity ,0
 i great love song dilko qatil chooh jani wala song ,2
 bohat acha qatil darama hai ,1
 agar niazi bahir bhaga to hum pmln ky sbsy bry mulhalif bningy ,1
 tumhari mot ka paigam aa chuka hai abdullah apni hisaab kitaab mukamal kar lo ,0
 safu chachi ,2
 ajeeeeeeb yehi reh gyi th interview ky lye  ,2
 subhan allah or prophet muhammad saw told us 1400 years ago to sit and drink water ,1
 madam mera pan card kaho gaya hai mare ko pan card number bhi nahin hai to mujhe purana pan card nikalna hai to kis tarah nikalega ,2
 but me to nahi han allah ka shukar hai ,1
 qatil walid aghomath ny jab daikha ke in ki beti science ya maths ke bajhay poetry main zayada dilchaspi rakhte hai to inho ny is ki hosla afzai ka faisala kya ,1
 haha cha ab nikal qatil ,0
 allah ap ky karobar main barkat dy bhai ameen ,1
 shadi ke bad wo larkiya un ke ghar ise tarah atein jese betiyan meke ati han ,1
 rana sahab ko mashwra hai is team ko baech kar maronda li lainmun to mitha kry ga kaam se kaam ,0
 ni ho raha maam ,2
 lanat asi hakeem par jo apnay chaty bathy laga raha hai ,0
 agar teri samajh hoti to tum gadha gift na karti ,0
 allah tum logo ko gharak kry firoono ameen ,1
 1951 or 1963 ke darmayan honi wale 13 british open final main rasai hasil karni wale 26 khelaryon main sey 22 ka taaluq khan family sey tha hashim 8 martabah british open ke final main pahiche jabkay unke bhai azam khan bhi saat martabah final khelay ,1
 intne me to pora psl ho jayega ,2
 bgairat han bhot bra lanti insaan han ,0
 kon kon roj sunta hai yai song ,2
 ya fer normalhai ,2
 wah yar kya song or kya episode hai daikh ky rona aagya  haryana india              ,1
 kon han ye  ,1
 hai mam meapki bhut bdi fan hun ,1
 oh bgherat insaan sharam karo  ramazan hei  roza v rakh leyaa kar haramkhora   ,0
 its okay dukhi insaan ,0
 qatil aitmaad ka vote hasil karni ke bad unhon ny dawa kya ke main wozra uar beuoro crasi se teen maah main nataij hasil karon ga ,1
 yar dunia chand py punch gai or hum log abhi yai sab karnay main hi lagy hai kabhi media dikhata hai ky yai larka apni aankhen bohot bahir tak nikal sakta hai to kabhi yeh ,0
 kaam se kaam bccho ki hansi ki khatir  aisi mitti main milana ki khilona ho jau best ,2
 bas asi hiapinshallah kanglay hojaogy agar begum ky charno main rahy ,2
 kash yai hamari hukamrano ko bhi samajh aa jae or adliya ko bhi allah hum sab per raham farmae aameen ,1
 qatil  qatil  qatil  qatil  retire honi ka bawajud cricket qatil se javed miandad ka taaluq toota nahi 2008 se 1999 main unhone ny pakistan team ki coching ki or aaj kal pakistan cricket board ka director general ka tour per khidmat anjam dy rahe hain ,1
 kise gareeb ki beti ki b shadi karwa daty show off karnay ce    ,0
 yai log batameezi krnyai ek mint lgaty hain ab in ka moqaf hai ky larka larko ko tng kar raha tha video aye gee tab pata chalay ga ky kitni suchai hai isai ,0
 janwar hamesa bahar hi ghumte rhte hai ,2
 iqra aziz or feroze khan ek or drama saath bnain           love form india      ,2
 beshak allah pak meri ammi ko salamat rakhy ameen ,1
 zani baighairat ko jail main dalo ,0
 yai khani feriya or ameer ki he ,2
 nahi kartay ise drama han ,0
 yai same story fariha drama ki hai qatil ekdam same sabkuch wahi hai ,2
 beti kis choorni qatil qatil ky saath apneyapko mila rahe ho allah kise dushman ki beti ko bhi aisay gandi galeez orat ky jeisey na banain ameen ,0
 hahahahahsunbal to unke jan hai na ,1
 hd hogae janwar agar tang mar day to bchay ko kitna nuksan phnch sakta jahil hain ,0
 uff anaya baji ki overacting ,0
 koe nahi hua lapata ,2
 wo mujh se bohat mohabbat karti hai ,1
 horse trading to norml bat han imran khan ny senate election ky liay pore pti zardari ko bech di han ,1
 1950 mainapko aqwamemutehda main pakistan ka mustaqil numaiynda bana kar bheja gaya ,1
 meri zindgi dikhti hai iss video me bhaut mushil ky khuda ko bhi hasil karna or muhabat ko bhi ,2
 qatil iss ka bad kirdar smar shild tournament main enhoney karachi wahites ki taraf se khelte huwe nathional bank ka kheliaf 331runs banaye ,1
 masha allah ache chez hai ,1
 mashlha mojhe bohot pasand hai         ,1
 kitni dard li aai hai hum to teri chokat se beautiful line ,2
 youthia nachwate hon ge main pakistany hoon tum jaisa dala nahi hoon jo mian ky moo main daal ky betha hai ,2
 jab hashim azam or roushan ny american cricket ko khair bad kaha to un ki nasal ny kamyabi ke safar ko jari rakha mohibbullah khan 1969 tek american tournament jeete rahe fir hashim ke bari sahibsadi shareef khan agae ,1
 bhagwan shiv ko murakh bana diya aam admi kya chij han malli ke liye ,2
 zehar dedo ek e dafa subko kutooo ,0
 bahut kuchh janne ke jana hai tumko badi mushkil se pehchana hai tumko yai jo tum samajhti ho galat hi kise din yah bhi samjhana hai tumko ,2
 alfaaz nahi tareef ky liye                          ,1
 wah bhai wah adil raja jaisy admi ke kahni par wo bi na koe proof na kuch or keapyaqeen kar loya us pe    can see ke itny log pti ke supporter kyun hain ,1
 amruud mtlb kya hai ,2
 allah ap ky karobar main barkat dy bhai ameen ,1
 shayad ise waja se box office par in ki maqboliyat kaam honi lage the ,0
 bhot pasand aya mujhe yai song ab yh mera fav hai love from india ,1
 sarko per mqm ppp pml na pti samait kae mukhaalif jamaito ky camps per jashan qatil ,1
 anaya fazool main khud fehamkhud he ko khud e invite karti rahiti hai burger bachy ihsas e kaam tareeee ky shikar ,0
 abyy bhai rhny du tum abqoum 3 basic need sy banti hai health education foodye roads wghera bad ki batein hai shaor ki bt hai bss ur kuch nhiek kilo ata daynay wala vote li jata hai lkn yai nahi sochitay ky humen yai ata khud kamana kon sikhaega ,0
 qatil javed miandad qatil ny kahi munfarid records apni naam kiye woh musalsal 6 world cup main hissa layne wale wahid khilari hain or in mudad qatil chand qatil khilariuon main se kya jin ki test matches qatil main euns banane ki average kabhi 50 se niche nahi ai 2009 main imran khan or haneef mohammad ka saath inhain 1cc ka haal of fame main shamil kya gaya ,1
 imran khan ke jote ke barabar b nahi to          ,0
 is darmay main ho kya raha hai   sab roo rahay hain ,2
 or hapiz sab kidhar hai usko be laty na ,1
 cream to theak hai par intne bari jar se nikalte kya hai sirf 10g jo mushkil se 10days chalti hai ,0
 itna khubsorat mazhab hai hamara par kuch logo ny is ka mazak bana diya hai pata nahi kya ho gay hai logo ko ,0
 pas punjab food authority ki dabang lady aisha mumtaz ki karrawai barri tadaad main haram gosht baramad 3afrad griftar qatil ,1
 ajeeeb ni laga tume  showkha    ,2
 khuda garat karen in logo ko astagfirullha ,0
 qatil malala yousafzai ny pakistan ke fauji jawano se appeal ki ke agar hamari fauji bhai hamain tahafoz faraham karen to hum larkiya apni darsgahon ko ja sakti hain ,1
 han na ajeeb ,2
 wait did aa pakistani actress really put aa bindi and got herself ready as aa hindu  really  what aam i seeing  ,2
 bechara ghulam pm ,0
 phela dhoka phela hota hai ,2
 modi ji ko yaad kar har leteee haikamayab log bhi ,2
 mohammad hafeez senior team ki zaroorat hoti hain ise ke saath meri koshish hoti hai ke youngsters ko moka don ta ke wo t20 se one day phir test team main jaga banany or team ke kamm aate rahein main ny 2 saal main 12 se 13 nojawano ko promote kiya t20 main mohammad irfan zulfiqar babar umar amin haris sohal raza hassan or sohab maqsod ko laya nasir jamshed or ahmed shehzad ka come back karaya aaindah bhi yai silsila jari rakhon ga ,1
 hamara service telenor par moujod nahi qatil ,0
 dhoka han yai site plx mat lain ink products fraud han sarasur ,0
 allhah pak asane karan ,1
 mon 17 aug wed 19 aug or fri 21 aug ko subha 8 bajy se 24 24 ghanto ky lye band rahegi qatil ,0
 kya pakistani siriyal banata hai log ,1
 qatil  aor fir woh gahri agae is ka sab ko intezar tha london ke lance down club main british open ka agaz hua mahmood alkareem ny apni title ke dafa main masroof thay magar unke bad kismati ke final main ek martabah fir hashim khan hi un ke samne thay ,1
 sansad nahi hai maafi naama kaks ,2
 ya allah ek baar dadu charger ka software update hota dekhna naseeb farma ,1
 edi to kaki ,0
 yai hasny nahi ronay ka makam hai      yai mulk kis traaf jarha allah pak khair kare aameen ,0
 same status hai aniya or ismail ka but kitna difference hai soch ka parwarsh ka this ia the reality of society ,2
 khuda ky wastay jan choro awam ki ,0
 lakh diiiiii lanat tum sab par ,0
 maha bekaaar scene ,0
 meri sanson main  ,2
 bkwas    yehi topic reh gaya hai cover krne ko     ,0
 we love imran khan but this is beghairati and vulgarity ,2
 dil khush kar diya ,1
 jeya dil har jay ji ,0
 qatil is ke ilawaapki nazmon geeton or ghazlon ke majmoo main naghma zaar sozosaaz tulkhaba sheeren haftepeykar or chontii naama shamil hai ,1
 chatey thay maan bap ki aklouti olad honay key bas unhon nay bant key khana shayad seekha nahein tha salgirah pe milney walay tohfon ki tarah woh har film pe milney wale dad oh tahsen ko bila shirkat e gairay wasol ker nay ki koshish ker te un key iss rawaeay par sab se pehley pevaiz malik berham huey un key bad sohail rana or masroor anwar ny bhi saday ahtijaj buland ki ,0
 fasadiyon ka tola pti ,0
 sachchi mohabbat apki kareeb ho chahe aapse door uske yaadein uske aahatein dil me hamaisha zindah rahti haiaur yai sach hai i totally agreed evenapkisi ky bhi ho jao   ,2
 sabsy last vali comedy ke movie ka name bataie sir ,2
 hamari yahan to  200 lete hain ,2
 youthio is par kiye gay kharche ka nahi poocho ge            haqiqe ghulami march                ,0
 abdullah meri jan i love you ,1
 drame  koe yai to pauchay in sy   k intne nafrat hoo kyu rahe hai army sy logo ko  dramay bazi hai shahedon ka naam laga kar apni sisasat kar rahay hain ,1
 bandy ko rab se hum kalam kar dene wala azeem fankar 16 august 1997 ke roz birmingham ke ek hospital se janeafreen ke supurd kar ke apni rab ke huzoor hazir ho gaya ,0
 bas bachiyon ka supplier badal lain apna ab ,0
 kya song hai sach me jitana bhi sun lo bor nahi lagta ,1
 masha allah buht ala huma humaappyare ,1
 meri sasural wale mujhe bahut pareshan kare mera pati mujhe chhod ,2
 ap kitni sunder ho                               ,1
 drama too in ka ek hi acha hai pyare afzal ,1
 pdm ki waja se gareeb rul gye ,0
 bohot sara payar from india ,1
 one day main in ki behtareen karkerdagi 1993 main karachi main zimbabwe ke khilaf kit hi ,1
 bahoot khoob ,1
 pakistan india and bangladesh united south asia is once again just as peaceful as when the mughals were there if only it were aa reality                ,2
 yh han bazookathaaaaaaaanice flavor qatil read more qatil hide ,1
 mashaallah she got aa big heart aa positive attitude towards society ,1
 allah is mulk ka logo ko apni hifso amman ma rkhay or sara logo ki musklat ko asaan kry ameensum e ameen ,0
 nigran chor shahbaz tum or zaleel or ruswaa hogee insallah abhi zulam ki intheha kri hai power hai gaddar saath hai per allah se bari power teree baap ky bhi pas nahi wait and watch allah ki taraf se ibrat ka nishan banoge sab log pakistan ky gaddar ,1
 hi mam epfo ma sar naam galat han to epfo tool free nambar pa mees caal da to balance dikha daga ,2
 hahhahapakra gaya bazi or tang dikha ker bheek mangny wala ,2
 pyaar hai voh ,1
 jaya ko bohat se aise kirdar mile jin main inhe acting ke jouhar dikhane ka mauqa mila ,1
 beghairat be sharam  mran ,0
 bohot hi bekar experience raha food pandaappar order ky paisa pora la liya par items kaam delivered kerwai ,0
